"Order ID","PROUDCT NAME","UPC","RETURN REASON","RETURN DATE","CURRENT STATUS","UNIT","PO#","PO Line#","RMA#","RETURN ORDER LINE#","FAULT","CURRENT_TRACKING_STATUS","DELIVERED_DATE","RECEIVED_SCAN_DATE","DISPOSITION","ITEM_CONDITION"
"200010574883593","Google Nest Doorbell (Battery), Video Doorbell Camera, Wireless Doorbell Security Camera, Snow","193575007922","Incorrect item","2023-02-05T00:50:55Z","DELIVERED_AT_RC_POST_INVOICE","1","108735689879776","1","156419430385208253","1","SELLER","deliveredToRC","2023-02-07T10:47:00.000+0000","2023-02-14T13:06:41.853+0000","RTV","UNSELLABLE"
"200010546974087","Restored Apple iPad Air 2, 9.7in, Wi-Fi, 16GB, Space Gray (MGL12LL/A) (Refurbished)","783629334304","Changed Mind","2023-02-05T00:14:05Z","RETURN_CANCELLED","1","108731726972535","5","157632217022685715","1"," ","initiated","NA","NA","NA","NA"
"200010683971035","Apple iPhone 11 128GB Black Fully Unlocked B Grade Used Smartphone","689518377684","Defective","2023-02-04T23:36:58Z","RETURN_INVOICED","1","108802174083060","1","153027234908312268","1","SELLER","deliveredToRC","2023-02-08T11:46:00.000+0000","2023-02-13T18:14:59.700+0000","RTV","UNSELLABLE"
"200010770869398","Restored Apple Watch Series 6 GPS, 40mm Space Gray Aluminum Case with Black Sport Band - Regular (Refurbished)","194026977368","Damaged","2023-02-04T22:59:06Z","DELIVERED_AT_RC_POST_INVOICE","1","108803317406751","1","151090276204352543","1","WFS","deliveredToRC","2023-02-08T11:46:00.000+0000","NA","NA","NA"
"200010524601119","Restored Unlocked Apple iPhone XR 128GB Blue MRYH2LL/A (Refurbished)","309279402776","Changed Mind","2023-02-04T22:55:13Z","RETURN_CANCELLED","1","108732767834715","3","154172257499304459","1","CUSTOMER","initiated","NA","NA","NA","NA"
"200010663924306","Restored Apple Watch Series 7 (GPS) 45mm Midnight Aluminum Case with Midnight Sport Band - MKN53LL/A (Refurbished)","784956688474","Damaged","2023-02-04T22:34:01Z","RETURN_INVOICED","1","108801765621104","2","152120572101429897","1","WFS","deliveredToRC","2023-02-07T10:47:09.000+0000","2023-02-13T15:57:23.335+0000","DISPOSE","UNSELLABLE"
"200010759700823","Restored Apple Watch Series 4 40mm GPS + Cellular 4G LTE - Space Gray - Black Sport Band (Refurbished)","791109153093","Defective","2023-02-04T20:55:20Z","DELIVERED_AT_RC_POST_INVOICE","1","108736113282059","1","153027084044221568","1","SELLER","deliveredToRC","2023-02-09T11:03:55.000+0000","2023-02-15T02:28:01.950+0000","RTV","UNSELLABLE"
"200010683971035","Apple iPhone 11 128GB Black Fully Unlocked B Grade Used Smartphone","689518377684","Defective","2023-02-04T20:37:13Z","RETURN_CANCELLED","1","108802174083060","1","158693586154220178","1","SELLER","initiated","NA","NA","NA","NA"
"200010756679490","Used Watch Series 5 44mm GPS Space Gray Aluminum Case Black Sport Band MWVF2LL/A - Grade B","675696223387","Incorrect item","2023-02-04T20:31:20Z","RETURN_INVOICED","1","108800331306576","1","153234648574085708","1","SELLER","deliveredToRC","2023-02-08T11:46:00.000+0000","2023-02-14T15:39:50.609+0000","RTV","UNSELLABLE"
"200010741561953","Restored Apple Watch Series 5 (GPS, 40mm) - Space Gray Aluminum Case with Black Sport Band (Refurbished)","194026648435","Incorrect item","2023-02-04T20:10:03Z","RETURN_CANCELLED","1","108803419425092","1","153027492904165912","1","WFS","initiated","NA","NA","NA","NA"
